Sensor0,Sensor1,Sensor2,Sensor3
25607,28375,25709,29487
25573,28400,25712,29544
25411,28338,25707,29610
25543,28127,25598,29479
25606,28327,25693,29431
25545,28375,25713,29492
25610,28293,25711,29626
25564,28308,25678,29584
25602,28327,25723,29467
25621,28347,25644,29380
25593,28314,25712,29636
25610,28298,25669,29509
25802,28573,25937,29743
25583,28298,25642,29553
25408,28335,25565,29428
25538,28229,25704,29569
25585,28296,25684,29467
25593,28271,25701,29688
25576,28269,25728,29651
25582,28124,25667,29565
25454,28325,25722,29748
25576,28253,25655,29633
25555,28240,25710,29413
25569,28293,25663,29567
25564,28235,25718,29707
25554,28295,25659,29535
25538,28231,25609,29660
25422,28311,25625,29345
25466,28211,25699,29547
25526,28238,25637,29509
25478,28094,25682,29441
25476,28059,25556,29440
25408,28259,25535,29546
25550,28065,25699,29532
25505,28211,25716,29443
25423,28222,25531,29723
25641,28226,25751,29488
25592,28310,25655,29445
25496,28226,25674,29541
25534,28247,25614,29536
25542,28212,25692,29567
25469,28270,25611,29422
25525,28238,25613,29517
25546,28236,25581,29532
25533,28163,25677,29643
25533,28248,25667,29363
25532,28217,25678,29576
25526,28225,25609,29394
25425,28253,25653,29412
25439,28046,25642,29524
25523,28122,25684,29636
25357,27870,25425,29389
25214,27885,25619,29188
25258,27877,25655,29476
25574,28268,25719,29371
25551,28224,25687,29619
25581,28180,25719,29691
25569,28243,25680,29614
25560,28233,25701,29558
25569,28230,25710,29673
25563,28184,25714,29776
25562,28190,25701,29628
25569,28187,25701,29693
25567,28218,25676,29570
25568,28180,25698,29693
25558,28236,25670,29614
25576,28194,25697,29665
25490,28176,25627,29698
25576,28199,25733,29414
25583,28240,25671,29547
25583,28196,25697,29652
25592,28187,25683,29705
25585,28053,25642,29527
25576,28251,25660,29256
25339,27904,25517,29538
25487,28051,25284,29180
25357,28170,25576,29004
25257,28008,25652,29558
25610,28128,25706,29530
25605,28238,25656,29525
25610,28215,25701,29609
25616,28180,25697,29704
25380,28229,25664,29594
25597,27900,25513,29387
25379,28013,25644,29519
25498,28075,25566,29482
25384,28003,25686,29238
25547,28238,25673,29480
25376,27948,25569,29388
25434,28433,25640,29618
25731,27920,25445,29395
25328,27987,25497,29426
25620,28049,25470,29534
25615,28181,25686,29661
25625,28179,25686,29706
25615,28039,25557,29368
25482,27934,25418,29514
25357,28198,25511,29083
25274,27936,25379,29322
25624,28294,25499,29286
25584,28226,25676,29661
