Sensor0,Sensor1,Sensor2,Sensor3
25016,31254,27762,31438
24946,31258,27727,31335
24791,30703,27557,31192
25227,31550,27922,31662
24952,31298,27728,31388
25016,31269,27744,31460
25016,31185,27759,31389
25015,31181,27760,31406
24985,31177,27735,31401
25018,31188,27749,31114
25025,31162,27752,31437
25000,31178,27746,31402
25015,31163,27744,31423
24874,31006,27716,31366
25003,31228,27527,31238
25022,31179,27759,31407
25022,31278,27729,31455
24997,31268,27726,31459
24937,31237,27577,31409
25018,31251,27501,31351
25010,31183,27745,31390
25200,31544,27917,31721
25044,31279,27753,31455
24995,31350,27754,31433
24825,31228,27704,31444
24957,31175,27450,31425
25047,31180,27708,31429
25041,31247,27705,31443
25042,31152,27753,31379
25027,31198,27742,31456
25030,31181,27717,31451
25043,31242,27683,31454
24956,31283,27703,31398
25039,31201,27713,31165
24919,31142,27738,31361
25037,31173,27508,31333
25034,31236,27698,31466
24946,31296,27728,31169
24803,31287,27657,31471
25016,31127,27689,31460
25035,31139,27506,31221
25021,31256,27694,31434
25022,31248,27719,31373
25025,31240,27666,31435
24950,31135,27741,31194
25021,31229,27484,31319
25019,31253,27684,31437
24937,31164,27457,31171
24814,30984,27423,31101
25019,31190,27599,31326
25014,31181,27591,31389
25006,31166,27747,31321
24999,31199,27742,31386
24987,31197,27741,31374
24850,31160,27703,31437
24924,31268,27476,31347
24930,31273,27710,31377
24996,31154,27729,31422
24999,31183,27728,31364
24959,31200,27727,31419
25000,31192,27667,31433
24997,31200,27719,31314
24985,31178,27726,31401
24984,31182,27722,31385
24979,31157,27729,31410
24977,31123,27728,31452
24907,31249,27668,31312
24986,31188,27701,31439
24988,31184,27685,31416
24982,31173,27725,31391
24970,31100,27728,31412
24991,31146,27728,31419
24977,31165,27728,31492
24901,31256,27656,31240
24928,31225,27682,31440
24988,31188,27666,31424
24989,31133,27731,31454
25003,31205,27633,31440
24981,31202,27716,31393
25001,31172,27512,31391
24868,31082,27689,31229
24982,31175,27714,31159
24994,31128,27733,31464
24987,31142,27733,31441
24989,31220,27483,31370
24950,31165,27654,31310
24986,31184,27545,31132
24984,31183,27727,31429
24990,31127,27580,31380
24974,31145,27729,31467
24920,31081,27702,31344
24967,31016,27587,31439
24928,31270,27647,31232
24885,31276,27699,31350
24973,31231,27623,31449
24908,31267,27598,31320
24894,31193,27653,31439
24909,31276,27673,31285
24980,31217,27714,31233
24981,31245,27695,31397
24993,31222,27717,31381
