Sensor0,Sensor1,Sensor2,Sensor3
26020,28948,29080,32289
26083,28800,29048,32047
26033,28902,28903,32290
25856,28827,29014,32302
25950,28930,29133,32091
25850,29041,29075,32258
25982,29065,29104,32232
26031,29046,29148,32239
26013,29113,29134,32201
25923,29129,29130,32246
26004,29032,28968,31969
26011,29118,29072,32118
25999,29043,29046,32103
25989,29190,29128,32181
26004,29060,29125,32259
26007,29124,29100,32235
25991,28985,29135,32229
26024,28991,29092,32248
25975,29038,28939,31928
25973,29034,29013,32162
25994,29069,29022,32286
25916,28695,29034,32225
26033,28992,29096,31959
26001,29070,29112,32189
26020,29052,29034,32260
25996,28960,29135,32205
26007,28936,29384,32470
26234,29186,29177,32208
26035,29084,29114,32211
25998,29017,29111,32286
26024,29071,29159,32266
25805,29068,29011,32284
25841,29055,29056,32287
25911,29153,28897,32214
26011,29240,29104,31989
26005,29343,29083,32293
26035,29135,29072,32201
25798,29331,29132,32282
26036,29425,29142,32261
26034,29498,28973,32291
26065,29527,29088,32317
26065,29560,29068,32309
26043,29489,29127,32250
26018,29500,29148,32291
26058,29529,29156,31931
26052,29535,29151,32312
26036,29537,29107,32307
26008,29559,29062,32308
25949,29306,29053,32215
26029,29528,28987,31973
26042,29522,29026,32240
26032,29518,29088,32283
26053,29503,29089,32277
26265,29825,29315,32536
26006,29377,29122,32059
26061,29475,28990,32209
25974,29630,29116,32149
26118,29547,29135,32334
26257,29567,28975,32228
26266,29539,28987,32245
26244,29514,29075,32197
26226,29678,29109,32126
26229,29985,29302,32570
26430,29912,29006,32264
26190,29751,29111,32243
26059,29770,29089,32305
26170,29698,29021,32239
26150,29701,29126,32185
26128,29707,29106,32248
26136,29692,28969,32300
26048,29664,29000,32228
26125,29666,29094,32246
26013,29710,29096,32198
26121,29729,28975,32283
26105,29576,29004,32105
26047,29685,29114,32201
25926,29696,28975,32339
26054,29758,29105,32059
26120,29667,29082,32239
25985,29918,28867,32290
26129,30007,29066,32306
26098,29863,29022,32034
26186,29960,29002,32105
26153,30052,28979,32010
26071,30030,29017,32089
26133,30128,29074,32215
26135,30090,29013,32219
25917,30061,28997,31991
26128,30035,28996,32195
26091,30048,29063,32202
26107,29998,29032,32228
26064,30061,28967,32280
26089,30029,29075,32217
26088,30047,28846,32123
26067,30099,29046,32229
26047,30161,29029,32221
25987,30167,29052,32216
26040,30106,29055,32544
26292,30419,29272,32252
26056,30114,29012,32020
26067,30131,29079,32323
